id,created_at,question,question_type,fished_by,username,message,responses,question_id
1,2024-01-16T08:30:00Z,What's a small moment from today that you'll probably forget but wish you could keep?,personal,,test_user,"Sitting in the coffee shop this morning, an elderly man at the next table was teaching his grandson how to play chess. The kid kept calling the knights 'horsies' and the grandfather never corrected him, just smiled every time. The pure joy on both their faces - that's what I want to remember.","[]",1
2,2024-01-16T09:15:00Z,If your life was a book what would this chapter be called?,personal,,test_user,"'The Great Unraveling and Reweaving' - Everything I thought was permanent fell apart this year, but I'm learning that sometimes things need to break before they can become what they're meant to be.","[]",2
3,2024-01-16T10:00:00Z,What would you tell your younger self about the person you've become?,personal,,test_user,"You're going to disappoint some people, and that's okay. The ones who matter will stay. Also, that weird thing you do with your hands when you're nervous? You still do it, and someone will find it endearing.","[]",3
4,2024-01-16T11:30:00Z,What's something you've changed your mind about recently?,personal,,test_user,"Success. I used to think it meant having everything figured out. Now I think it's being okay with not knowing and still showing up anyway.","[]",4
5,2024-01-16T12:45:00Z,If consciousness could be uploaded would you still be you?,philosophical,,test_user,"I don't think so. My consciousness includes this specific body - the way my knee aches when it rains, how chocolate tastes after a bad day. A digital me would be a echo, not me.","[{'user': 'wanderer23', 'message': 'But wouldn't your memories of those sensations be enough?'}]",6
6,2024-01-16T13:20:00Z,How do you know when it's time to let go of something?,advice,,test_user,"When holding on starts to change who you are. When you realize you're gripping so tight that your hands have forgotten how to do anything else.","[{'user': 'oceanmind', 'message': 'This hit hard. Thank you.'}]",11
7,2024-01-16T14:00:00Z,What's your most irrational fear that you'll never admit out loud?,fun,,test_user,"That everyone can actually read minds except me, and they're all just pretending they can't to be polite. Sometimes I test it by thinking really loud thoughts.","[{'user': 'cosmic_joke', 'message': 'I THOUGHT I WAS THE ONLY ONE'}, {'user': 'mindreader99', 'message': 'We know ;)'}]",17
8,2024-01-16T14:30:00Z,What part of yourself do you see in the people you love?,deep,,test_user,"My stubbornness in my mother, my terrible jokes in my best friend, my tendency to overthink in my partner. It's like I'm surrounded by mirrors that only reflect the parts of me I'm learning to accept.","[]",21
9,2024-01-16T15:15:00Z,When did you realize your parents were just people trying their best?,deep,,test_user,"When I found my dad crying in his car after he thought I'd gone inside. He'd just been laid off and didn't want us to worry. I was 16. Changed everything.","[{'user': 'nightowl', 'message': 'The moment we see our parents as human is when we truly grow up'}]",22
10,2024-01-16T16:00:00Z,What goodbye still haunts you?,deep,,test_user,"The one I never got to say. My grandfather went into surgery and I said 'see you later' because saying goodbye felt too final. There was no later.","[]",23
